epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1732.58,2.22083,1.71671,2.3752,0.756,0.68099,0.72489,0.47342,2.43249,1.78337,2.5805,0.000396265,0.000396265,0.000396265
43,1772.32,2.21327,1.70495,2.34913,0.76042,0.70048,0.72764,0.47895,2.39789,1.75702,2.56815,0.000389661,0.000389661,0.000389661
44,1812.09,2.20245,1.67988,2.35931,0.73459,0.69085,0.7222,0.4746,2.42047,1.79208,2.57123,0.000383058,0.000383058,0.000383058
45,1851.9,2.1648,1.65509,2.33763,0.76616,0.67213,0.72666,0.4861,2.36138,1.76499,2.53956,0.000376455,0.000376455,0.000376455
46,1892.33,2.15633,1.62348,2.32746,0.74713,0.70024,0.72908,0.48862,2.36649,1.74782,2.54744,0.000369851,0.000369851,0.000369851
47,1932.1,2.16663,1.62947,2.33867,0.76789,0.69018,0.73702,0.48629,2.37894,1.70845,2.54843,0.000363248,0.000363248,0.000363248
48,1972.09,2.14317,1.61528,2.31818,0.80791,0.66266,0.7417,0.49507,2.39185,1.70646,2.54999,0.000356645,0.000356645,0.000356645
49,2012.19,2.13787,1.61766,2.34346,0.76454,0.69979,0.73988,0.48858,2.3937,1.72168,2.55271,0.000350042,0.000350042,0.000350042
50,2052.13,2.14079,1.62616,2.33303,0.76189,0.68947,0.73158,0.4852,2.37245,1.72059,2.55777,0.000343438,0.000343438,0.000343438
51,2092.19,2.12564,1.61182,2.32312,0.7677,0.70898,0.74391,0.50048,2.34881,1.69547,2.51872,0.000336835,0.000336835,0.000336835
52,2132.09,2.11001,1.63436,2.2979,0.76671,0.69,0.73939,0.49428,2.35854,1.71948,2.53001,0.000330232,0.000330232,0.000330232
53,2172.02,2.13165,1.56124,2.29295,0.76882,0.7032,0.74494,0.4998,2.34013,1.71701,2.51806,0.000323628,0.000323628,0.000323628
54,2212,2.09239,1.56031,2.31106,0.75312,0.69449,0.73444,0.49362,2.33937,1.72693,2.51848,0.000317025,0.000317025,0.000317025
55,2251.98,2.09057,1.5572,2.29589,0.76039,0.69937,0.73501,0.497,2.31943,1.74445,2.51574,0.000310422,0.000310422,0.000310422
56,2292.1,2.10226,1.57718,2.30453,0.79133,0.69868,0.74896,0.50662,2.31342,1.67832,2.50573,0.000303818,0.000303818,0.000303818
57,2332.01,2.07601,1.5168,2.28913,0.76912,0.69617,0.74015,0.50318,2.31404,1.73978,2.50589,0.000297215,0.000297215,0.000297215
58,2371.82,2.08148,1.54173,2.29428,0.78772,0.69451,0.75376,0.50901,2.33113,1.66554,2.51828,0.000290612,0.000290612,0.000290612
59,2412.02,2.068,1.49855,2.27439,0.76329,0.71336,0.74799,0.50504,2.31479,1.6805,2.51057,0.000284009,0.000284009,0.000284009
60,2452.02,2.04646,1.48476,2.28352,0.79783,0.70291,0.75166,0.5057,2.3096,1.66403,2.51678,0.000277405,0.000277405,0.000277405
