epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,464.955,1.06456,0.93226,1.12722,0.66263,0.58871,0.61316,0.33511,1.48922,1.29045,1.39319,0.000396265,0.000396265,0.000396265
43,476.779,1.10443,0.96154,1.15028,0.72001,0.57245,0.63994,0.35111,1.49282,1.25599,1.37496,0.000389661,0.000389661,0.000389661
44,487.857,1.08649,0.92387,1.12738,0.7579,0.58431,0.64167,0.3531,1.4992,1.29317,1.3754,0.000383058,0.000383058,0.000383058
45,500.778,1.05998,0.8917,1.12129,0.73984,0.55663,0.62104,0.33908,1.53136,1.37569,1.38692,0.000376455,0.000376455,0.000376455
46,513.296,1.07798,0.92305,1.13656,0.77218,0.56663,0.64782,0.36052,1.47796,1.24449,1.36335,0.000369851,0.000369851,0.000369851
47,525.125,1.07396,0.92396,1.12587,0.75282,0.58475,0.6423,0.358,1.48598,1.2897,1.37458,0.000363248,0.000363248,0.000363248
48,537.257,1.04566,0.89021,1.1175,0.73887,0.59497,0.64748,0.3559,1.47716,1.27905,1.38715,0.000356645,0.000356645,0.000356645
49,548.455,1.05829,0.88362,1.10734,0.71361,0.60872,0.65772,0.36402,1.46994,1.26179,1.37292,0.000350042,0.000350042,0.000350042
50,561.44,1.02569,0.87107,1.11027,0.71101,0.58744,0.62293,0.36047,1.46457,1.27719,1.36768,0.000343438,0.000343438,0.000343438
51,573.62,1.05229,0.88157,1.11326,0.7421,0.56505,0.62613,0.35432,1.49043,1.2909,1.37716,0.000336835,0.000336835,0.000336835
52,585.171,1.03709,0.87917,1.10152,0.76318,0.58585,0.6436,0.35569,1.49529,1.24775,1.40739,0.000330232,0.000330232,0.000330232
53,596.359,1.034,0.87172,1.10291,0.76509,0.58633,0.64689,0.36195,1.48339,1.29256,1.3778,0.000323628,0.000323628,0.000323628
54,608.608,1.01027,0.85186,1.0759,0.7409,0.59343,0.63831,0.35153,1.50352,1.31926,1.38405,0.000317025,0.000317025,0.000317025
55,621.393,1.01466,0.85238,1.08891,0.72481,0.5896,0.63352,0.36031,1.48982,1.33955,1.36464,0.000310422,0.000310422,0.000310422
56,633.767,1.01034,0.82813,1.08345,0.75714,0.60629,0.65497,0.36537,1.47094,1.26798,1.3814,0.000303818,0.000303818,0.000303818
57,645.748,1.00097,0.84871,1.1068,0.77699,0.58734,0.6525,0.37079,1.47473,1.24084,1.37076,0.000297215,0.000297215,0.000297215
58,656.131,1.00154,0.81867,1.0977,0.7439,0.59009,0.64877,0.35677,1.48549,1.25093,1.38329,0.000290612,0.000290612,0.000290612
